tambahbrelet,,
"B. Sc (Hons) in Chemistry with Resources, Manufacturing and The Environment",00225,2
B. Sc (Hons) in Chemistry with Statistics,00226,2
B. Sc (Hons) in Combined Studies,00227,2
B. Sc (Hons) in Computer Science and Management Studies,00228,2
"B. Sc (Hons) in Computer Science, Artificial Intelligence and Psychology",00229,2
B. Sc (Hons) in Computing Science,00230,2
B. Sc (Hons) in Computing Science and Surveying and Mapping Science,00231,2
B. Sc (Hons) in Computing Systems and Networks,00232,2
B. Sc (Hons) in Design Technology and Business,00233,2
B. Sc (Hons) in Earth Sciences,00234,2
B. Sc (Hons) in Ecology with Computing,00235,2
B. Sc (Hons) in Ecology with Geography,00236,2
B. Sc (Hons) in Ecology with Geology,00237,2
B. Sc (Hons) in Ecology with Marine Biology,00238,2
B. Sc (Hons) in Ecology with Mathematics,00239,2
B. Sc (Hons) in Ecology with Statistics,00240,2
B. Sc (Hons) in Economics (Applied) with Business,00241,2
B. Sc (Hons) in Economics (Applied) with Geography,00242,2
B. Sc (Hons) in Economics (Applied) with Languages,00243,2
B. Sc (Hons) in Economics (Applied) with Law,00244,2
B. Sc (Hons) in Economics (Applied) with Politics,00245,2
B. Sc (Hons) in Economics (Applied) with Psychology,00246,2
"B. Sc (Hons) in Economics (Applied) with Resources, Manufacturing and the Environment",00247,2
B. Sc (Hons) in Economics (Applied) with Social Policy,00248,2
B. Sc (Hons) in Economics (Applied) with Sociology,00249,2
B. Sc (Hons) in Economics (Applied) with Statistics,00250,2
B. Sc (Hons) in Economics (Applied) with Transport,00251,2
B. Sc (Hons) in Economics and Mathematics,00252,2
B. Sc (Hons) in Electrical and Electronic Engineering,00253,2
B. Sc (Hons) in Electronic Business Management,00254,2
B. Sc (Hons) in Enviromental Biology with Languages,00255,2
B. Sc (Hons) in Enviromental Life Science,00256,2
B. Sc (Hons) in Environmental Biology,00257,2
B. Sc (Hons) in Environmental Biology with Chemistry,00258,2
B. Sc (Hons) in Environmental Biology with Computing,00259,2
B. Sc (Hons) in Environmental Biology with European Studies,00260,2
B. Sc (Hons) in Environmental Biology With Geography,00261,2
B. Sc (Hons) in Environmental Biology with Geology,00262,2
B. Sc (Hons) in Environmental Biology with Mathematics,00263,2
B. Sc (Hons) in Environmental Biology with Ocean Science,00264,2
"B. Sc (Hons) in Environmental Biology with Resources, Manufacturing and the Environmental",00265,2
B. Sc (Hons) in Environmental Biology with Statistics,00266,2
B. Sc (Hons) in Environmental Science,00267,2
B. Sc (Hons) in Environmental Science with European Studies,00268,2
B. Sc (Hons) in European Society and Policy,00269,2
B. Sc (Hons) in Fisheries Studies,00270,2
B. Sc (Hons) in Fisheries Studies with Astronomy,00271,2
B. Sc (Hons) in Fisheries Studies with Hydrography,00272,2
B. Sc (Hons) in Fisheries Studies with Marine Navigation,00273,2
B. Sc (Hons) in Fisheries Studies with Marine Technology,00274,2
