Bil.,NAMA IPT,"KATEGORI PPT
(IPTA/ IPTS)",,NEGARA,
,"ALABAMA POLYTECHNIC, AUBURN, ALABAMA",2,00079,,Both
,"ALABAMA STATE UNIVERSITY, MONTGOMERY, ALABAMA",2,00080,,Both
,"ALASKA BIBLE COLLEGE, GLENNALLEN, ALASKA",2,00081,,Both
,"ALASKA PACIFIC UNIVERSITY, ANCHORAGE, ALASKA",2,00082,EGYPT,Both
,AL-AZHAR UNIVERSITY,2,00083,,Both
,AL-BALQA APPLIED UNIVERSITY,2,00084,,Both
,"ALBANY MEDICAL COLLEGE OF UNION UNIVERSITY, ALBANY, NEW YORK",2,00085,,Both
,"ALBANY STATE COLLEGE, ALBANY, GEORGIA",2,00086,,Both
,"ALBERT EINSTEIN COLLEGE OF MEDICINE, YESHIVA UNIVERSITY, NEW YORK",2,00087,,Both
,"ALBERTUS MAGNUS COLLEGE, NEW HAVEN, CONNECTICUT",2,00088,,Both
,"ALBION COLLEGE, ALBION, MICHIGAN",2,00089,,Both
,"ALBRIGHT COLLEGE, READING, PENNSYLVANIA",2,00090,,Both
,"ALCORN STATE UNIVERSITY, LORMAN, MISSISSIPPI",2,00091,,Both
,"ALDERSON BROADDUS UNIVERSITY/ ALDERSON-BROADDUS COLLEGE, PHILIPPI, WEST VIRGINIA",2,00092,,Both
,Alfa University College (AUC),2,00093,,Both
,"ALFRED UNIVERSITY, ALFRED, NEW YORK",2,00094,,Both
,AL-HASHEMITE UNIVERSITY,2,00095,,Both
,"ALICE LLOYD COLLEGE, PIPPA PASSES, KENTUCKY",2,00096,,Both
,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEW DELHI,2,00097,,Both
,"ALLAHABAD UNIVERSITY - M.L.N.MEDICAL COLLEGE, ALLAHABAD",2,00098,,Both
,"ALLEGHENY COLLEGE, MEADVILLE, PENNSYLVANIA",2,00099,,Both
,"ALLENTOWN COLLEGE, ST. FRANCIS DE SALES, CENTER VALLEY, PENNSYLVANIA",2,00100,MALAYSIA,Both
,Allianze University College of Medical Sciences (AUCMS),2,00101,MALAYSIA,Both
,ALLIANZE UNIVERSITY COLLEGE OF MEDICAL SCIENCES (AUCMS)/ ALLIANZE COLLEGE OF MEDICAL SCIENCES (ACMS),2,00102,,Both
,"ALMA COLLEGE, ALMA, MICHIGAN",2,00103,,Both
,"AL-MADINAH INTERNATIONAL UNIVERSITY (MEDIU), SHAH ALAM, SELANGOR",2,00104,,Both
,"ALVERNIA COLLEGE, READING, PENNSYLVANIA",2,00105,,Both
,"ALVERNO COLLEGE, MILWAUKEE, WISCONSIN",2,00106,,Both
,"AMBER UNIVERSITY, GARLAND, TEXAS",2,00107,,Both
,"AMERICAN BAPTIST COLLEGE, NASHVILLE, TENNESSEE",2,00108,,Both
,"AMERICAN CONSERVATORY OF MUSIC, CHICAGO, ILLINOIS",2,00109,,Both
,"AMERICAN INDIAN BIBLE COLLEGE, PHOENIX, ARIZONA",2,00110,,Both
,"AMERICAN INTERNATIONAL COLLEGE, SPRINGFIELD, MASSACHUSETTS",2,00111,,Both
,"AMERICAN TECHNICAL INSTITUTE, TENNESSEE",2,00112,,Both
,"AMHERST COLLEGE, AMHERST, MASSACHUSETTS",2,00113,,Both
,AMMAN UNIVERSITY,2,00114,,Both
,ANAN NATIONAL COLLEGE OF TECHNOLOGY,2,00115,,Both
,"ANDERSON COLLEGE, ANDERSON, INDIANA",2,00116,,Both
,ANDHRA PRADESH AGRICULTURAL UNIVERSITY HYDERABAD,2,00117,,Both
,"ANDHRA PRADESH UNIVERSITY OF HEALTH SCIENCES, VIJAYAWADA - KURNOOL MEDICAL COLLEGE, KURNOL",2,00118,,Both
,"ANDREWS UNIVERSITY, BERRIEN SPRINGS, MICHIGAN",2,00119,,Both
,"ANGELINA COLLEGE, LUFKIN, TEXAS",2,00120,,Both
,"ANGELO STATE UNIVERSITY, SAN ANGELO, TEXAS",2,00121,,Both
,ANGLIA RUSKIN UNIVERSITY (FORMERLY KNOWN ANGLIA POLYTECHNIC UNIVERSITY),2,00122,,Both
,"ANNA MARIA COLLEGE, PAXTON, MASSACHUSETTS",2,00123,,Both
,"ANTIOCH COLLEGE, YELLOW SPRINGS, OHIO",2,00124,,Both
,ANTWERPEN UNIVERSITY (UNIVERSITEIT ANTWERPEN),2,00125,,Both
,"APPALACHIAN STATE UNIVERSITY, BOONE, NORTH CAROLINA",2,00126,,Both
,"APPLACHIAN BIBLE COLLEGE, BRADLEY, WEST VIRGINIA",2,00127,,Both
,"AQUINAS COLLEGE, GRAND RAPIDS, MICHIGAN",2,00128,,Both
,"ARCHITECTURAL ASSOCIATION, LONDON (ARCHITECTURAL ASSOCIATION SCHOOL OF ARCHITECTURE)",2,00129,,Both
,ARIAKE NATIONAL COLLEGE OF TECHNOLOGY,2,00130,,Both
,"ARIZONA COLLEGE OF THE BIBLE, PHOENIX, ARIZONA",2,00131,,Both
,"ARIZONA STATE UNIVERSITY, TEMPE, ARIZONA",2,00132,,Both
,"ARKANSAS BAPTIST COLLEGE, LITTLE ROCK, ARKANSAS",2,00133,,Both
,"ARKANSAS COLLEGE, BATESVILLE, ARKANSAS",2,00134,,Both
,"ARKANSAS STATE UNIVERSITY, ARKANSAS",2,00135,,Both
,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE, ARKANSAS",2,00136,,Both
,"ARLINGTON BAPTIST COLLEGE, ARLINGTON, TEXAS",2,00137,,Both
,"ARMSTRONG STATE COLLEGE, SAVANNAH, GEORGIA",2,00138,,Both
,"ARMSTRONG UNIVERSITY, BERKELEY, CALIFORNIA",2,00139,,Both
,"ART ACADEMY OF CINCINNATI, EDEN OARK, CINCINNATI, OHIO",2,00140,,Both
,"ART CENTER COLLEGE OF DESIGN, PASADENA, CALIFORNIA",2,00141,,Both
,ASAHIKAWA MEDICAL COLLEGE,2,00142,,Both
,ASAHIKAWA NATIONAL COLLEGE OF TECHNOLOGY,2,00143,,Both
,"ASBURY COLLEGE, WILMORE, KENTUCKY",2,00144,,Both
,"ASHLAND UNIVERSITY/ ASHLAND COLLEGE, ASHLAND , OHIO",2,00145,,Both
,Asia College of Exercise and Sport Medicine (ACESM),2,00146,,Both
,ASIA e UNIVERSITY,2,00147,,Both
,"ASIA PACIFIC FLIGHT TRAINING ACADEMY, KOTA BHARU",2,00148,,Both
,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY (APIIT),2,00149,,Both
