KOD IPT,KOD  PROGRAM (5 digit),KOD PERINGKAT Kelulusan,Kod Kategori
00068,14682,2,2
00068,14761,2,2
00068,14773,2,2
00068,14818,2,2
00068,14951,2,2
00068,15049,2,2
00068,15937,2,2
00068,16371,2,2
00002,14385,2,2
00002,14510,2,2
00002,16210,2,2
00002,16368,2,2
00002,16530,2,2
00002,16569,2,2
00002,16608,2,2
00002,16690,2,2
00002,17765,7,2
00002,17910,4,2
00002,18002,4,2
00002,18004,4,2
00002,18008,4,2
00002,18351,4,2
00002,18354,4,2
00002,18355,4,2
00002,18583,4,2
00002,18679,4,2
00002,18680,4,2
00002,19572,4,2
00002,19593,4,2
00002,19635,4,2
00002,19636,4,2
00002,19637,4,2
00002,19638,4,2
00002,19640,4,2
00002,20078,6,2
00069,14396,2,2
00069,14511,2,2
00069,16210,2,2
00069,16211,2,2
00069,16532,2,2
00069,16569,2,2
00069,16570,2,2
00069,16608,2,2
00069,16609,2,2
00069,16690,2,2
00069,16691,2,2
00069,18003,4,2
00069,18005,4,2
00069,18006,4,2
00069,18007,4,2
00069,18008,4,2
00069,18352,4,2
00069,18353,4,2
00069,18354,4,2
00069,18355,4,2
00069,18679,4,2
00069,18680,4,2
00069,19635,4,2
00069,19636,4,2
00069,19637,4,2
00069,19638,4,2
00069,19639,4,2
00069,19641,4,2
00070,15657,2,2
00070,15659,2,2
00071,14385,2,2
00071,14396,2,2
00071,14432,2,2
00071,14433,2,2
00071,14688,2,2
00071,15483,2,2
00071,15498,2,2
00071,16530,2,2
00071,16532,2,2
00071,16588,2,2
00071,16598,2,2
00072,10478,4,2
00073,22135,4,2
00074,15343,2,2
00075,14567,2,2
00075,14635,2,2
00075,14711,2,2
00075,14921,2,2
00076,10396,4,2
00077,04400,4,2
00077,10928,4,2
00077,10941,4,2
00077,20485,6,2
00078,04400,4,2
00078,10928,4,2
00079,11003,4,2
00080,04400,4,2
00080,10928,4,2
00081,04400,4,2
00081,10928,4,2
00082,04400,4,2
00082,10928,4,2
00083,15727,2,2
00083,09903,4,2
00083,10754,4,2
00083,17932,4,2
00083,21174,4,2
00084,19413,4,2
00084,19416,4,2
00084,19507,4,2
00084,19510,4,2
00085,17143,2,2
00086,04400,4,2
00086,09164,4,2
00086,10928,4,2
00087,17143,2,2
00088,04400,4,2
00088,10928,4,2
00089,04400,4,2
00089,10928,4,2
00090,04400,4,2
00090,10928,4,2
00091,04400,4,2
00091,09164,4,2
00091,10928,4,2
00091,10941,4,2
00092,04400,4,2
00092,09164,4,2
00092,10928,4,2
00093,14543,2,2
00093,16206,2,2
00093,16350,2,2
00093,16356,2,2
00093,16520,2,2
00093,16523,2,2
00094,04400,4,2
00094,10928,4,2
00095,18817,4,2
00095,18818,4,2
00095,18974,4,2
00095,19415,4,2
00096,04400,4,2
00096,10928,4,2
00097,10738,4,2
00098,10755,4,2
00099,04400,4,2
00099,10928,4,2
00100,04400,4,2
00100,10928,4,2
00101,18401,4,2
00101,18402,4,2
00101,18403,4,2
00101,14497,2,2
00101,14512,2,2
00101,14938,2,2
00102,14502,2,2
00102,14515,2,2
00102,14938,2,2
00102,15105,2,2
00102,17154,2,2
00103,04400,4,2
00103,10928,4,2
00104,10615,4,2
00104,10616,4,2
00104,10617,4,2
00104,10618,4,2
00104,10630,4,2
00104,18651,4,2
00104,19754,4,2
00104,21356,4,2
00105,04400,4,2
00105,10928,4,2
00106,04400,4,2
00106,09164,4,2
00106,10928,4,2
00107,04400,4,2
00107,10928,4,2
00108,04400,4,2
00109,04400,4,2
00109,10928,4,2
00110,04400,4,2
00110,10928,4,2
00111,04400,4,2
00111,10928,4,2
00112,04400,4,2
00112,10928,4,2
00113,04400,4,2
00113,10928,4,2
00114,19415,4,2
00115,14665,2,2
00115,14711,2,2
00115,14921,2,2
00115,15025,2,2
00116,04400,4,2
00116,09164,4,2
00116,10928,4,2
00117,11510,4,2
00118,10755,4,2
00119,04400,4,2
00119,10928,4,2
00120,04400,4,2
00120,10928,4,2
00121,04400,4,2
00121,10928,4,2
00122,03800,4,2
00122,03801,4,2
00122,03868,4,2
00122,03878,4,2
00122,04913,4,2
00122,04914,4,2
00122,04915,4,2
00122,04918,4,2
00122,04919,4,2
00122,04920,4,2
00122,04921,4,2
00122,04922,4,2
00122,04923,4,2
00122,04924,4,2
00122,04925,4,2
00122,04926,4,2
00122,04927,4,2
00122,04928,4,2
00122,04929,4,2
00122,04931,4,2
00122,04932,4,2
00122,04935,4,2
00122,04992,4,2
00122,04993,4,2
00122,04994,4,2
00122,04995,4,2
00122,04996,4,2
00122,04997,4,2
00122,04998,4,2
00122,04999,4,2
00122,05023,4,2
00122,05024,4,2
00122,05026,4,2
00122,05027,4,2
00122,05043,4,2
00122,05088,4,2
00122,05089,4,2
00122,05090,4,2
00122,05092,4,2
00122,05094,4,2
00122,05095,4,2
00122,05097,4,2
00122,05098,4,2
00122,05099,4,2
00122,05100,4,2
00122,05101,4,2
00122,05103,4,2
00122,05104,4,2
00122,05105,4,2
00122,05112,4,2
00122,05113,4,2
00122,05114,4,2
00122,05115,4,2
00122,05116,4,2
00122,05117,4,2
00122,05121,4,2
00122,05122,4,2
00122,05123,4,2
00122,05124,4,2
00122,05148,4,2
00122,05235,4,2
00122,05355,4,2
00122,05356,4,2
00122,05357,4,2
00122,05358,4,2
00122,05453,4,2
00122,05454,4,2
00122,05455,4,2
00122,05456,4,2
00122,05457,4,2
00122,05458,4,2
00122,05459,4,2
00122,05460,4,2
00122,05461,4,2
00122,05462,4,2
00122,05463,4,2
00122,05464,4,2
00122,05465,4,2
00122,05466,4,2
00122,05467,4,2
00122,05468,4,2
00122,05469,4,2
00122,05470,4,2
00122,05471,4,2
00122,05472,4,2
00122,05473,4,2
00122,05474,4,2
00122,05475,4,2
00122,05476,4,2
00122,05501,4,2
00122,05503,4,2
00122,05505,4,2
00122,05508,4,2
00122,05557,4,2
00122,05558,4,2
00122,05830,4,2
00122,05831,4,2
00122,05832,4,2
00122,05833,4,2
00122,05852,4,2
00122,05853,4,2
00122,05855,4,2
00122,05859,4,2
00122,05861,4,2
00122,05865,4,2
00122,05866,4,2
00122,05868,4,2
00122,05869,4,2
00122,05872,4,2
00122,05874,4,2
00122,05879,4,2
00122,05907,4,2
00122,05909,4,2
00122,05910,4,2
00122,05915,4,2
00122,06035,4,2
00122,06056,4,2
00122,06059,4,2
00122,06061,4,2
00122,06062,4,2
00122,06064,4,2
00122,06067,4,2
00122,06072,4,2
00122,06074,4,2
00122,06077,4,2
00122,06082,4,2
00122,06084,4,2
00122,06090,4,2
00122,06091,4,2
00122,06092,4,2
00122,06095,4,2
00122,06323,4,2
00122,06324,4,2
00122,06325,4,2
00122,06362,4,2
00122,06363,4,2
00122,06364,4,2
00122,06365,4,2
00122,06366,4,2
00122,06367,4,2
00122,06368,4,2
00122,06369,4,2
00122,06370,4,2
00122,06371,4,2
00122,06372,4,2
00122,06373,4,2
00122,06374,4,2
00122,06375,4,2
00122,06376,4,2
00122,06377,4,2
00122,06533,4,2
00122,06534,4,2
00122,06535,4,2
00122,06545,4,2
00122,06547,4,2
00122,06553,4,2
00122,06558,4,2
00122,06564,4,2
00122,06568,4,2
00122,06570,4,2
00122,06571,4,2
00122,06573,4,2
00122,06574,4,2
00122,06576,4,2
00122,06581,4,2
00122,06582,4,2
00122,06586,4,2
00122,06689,4,2
00122,06700,4,2
00122,06701,4,2
00122,06702,4,2
00122,06703,4,2
00122,06704,4,2
00122,06706,4,2
00122,06708,4,2
00122,06710,4,2
00122,06712,4,2
00122,06713,4,2
00122,06714,4,2
00122,06717,4,2
00122,06779,4,2
00122,06783,4,2
00122,06785,4,2
00122,06786,4,2
00122,06789,4,2
00122,06790,4,2
00122,06800,4,2
00122,06803,4,2
00122,06808,4,2
00122,06810,4,2
00122,06811,4,2
00122,06813,4,2
00122,06815,4,2
00122,06819,4,2
00122,06820,4,2
00122,06824,4,2
00122,06827,4,2
00122,06910,4,2
00122,06911,4,2
00122,06917,4,2
00122,06918,4,2
00122,06919,4,2
00122,06920,4,2
00122,06921,4,2
00122,06922,4,2
00122,06923,4,2
00122,06924,4,2
00122,06925,4,2
00122,06983,4,2
00122,06989,4,2
00122,07018,4,2
00122,07039,4,2
00122,07040,4,2
00122,07042,4,2
00122,07049,4,2
00122,07059,4,2
00122,07065,4,2
00122,07068,4,2
00122,07069,4,2
00122,07075,4,2
00122,07362,4,2
00122,07380,4,2
00122,07382,4,2
00122,07487,4,2
00122,07492,4,2
00122,07493,4,2
00122,07494,4,2
00122,07495,4,2
00122,07496,4,2
00122,07497,4,2
00122,07499,4,2
00122,07501,4,2
00122,07502,4,2
00122,07504,4,2
00122,07615,4,2
00122,07616,4,2
00122,07617,4,2
00122,07618,4,2
00122,07619,4,2
00122,07621,4,2
00122,07622,4,2
00122,07623,4,2
00122,07748,4,2
00122,07749,4,2
00122,07833,4,2
00122,07835,4,2
00122,07840,4,2
00122,07841,4,2
00122,07842,4,2
00122,07982,4,2
00122,08004,4,2
00122,08005,4,2
00122,08007,4,2
00122,08080,4,2
00122,08195,4,2
00122,08231,4,2
00122,08233,4,2
00122,08234,4,2
00122,08237,4,2
00122,08296,4,2
00122,08297,4,2
00122,08319,4,2
00122,08321,4,2
00122,08322,4,2
00122,08326,4,2
00122,08560,4,2
00122,08561,4,2
00122,08562,4,2
00122,08599,4,2
00122,08608,4,2
